Glyphs	Convention	Transcribed	Meanings	Connection	√√	Akkadian
𒂼𒂆;𒂼𒂆;𒂼𒋋;𒀀𒂷𒊑𒅔;𒂆𒌷;𒀌;𒀎;𒀏;𒇉;𒀀𒂷𒊑𒅎	aĝarin₄;aĝarin₃;aĝarin₅;a-ĝa₂ri-in;aĝa₃-ri₂;aĝarin;aĝarin₂;aĝarinₓ(AB×HA);aĝarinₓ(LAGAB×HAL);a-ĝa₂ri-im	aĝarin	matrix, mother-creator; beer mash, beer bread; crucible	a grind?		#agarinnu;bappiru;ummu 
𒀀𒃾𒈾	a-ĝeštin-na	aĝeštinak	vinegar	•vinegarste 𒀀𒈾 𒃾 V.NA.ĝerste		#ţābātu
𒀀𒈪	a-ĝi₆	aĝi	wave, flood	𒀀𒈪 bu₄ge₆ Woge aqua		#agû 
𒌓	ah₃	ah	dried (out), dry; to dry	𒌓 ᵈRA ≈ dry		#abālu;šābulu --
𒀀𒄩𒀭	a-ha-an	ahanᵘˢ	vomit	<>		#nušû 
𒀀𒋻	a-haš	ahaš	sluice channel	bu₄tar water (channel) 𓇋 𓏏 𓂋 𓈘		#butuqtu 
𒀀𒄭𒀸	a-hi-aš	ahiaš	quickly	𓃹		#zamar ≈hurry
𒀀𒅆𒋼	a-igi-te	a'igite	?	?		#? 
𒀀𒅍	a-il₂	a'il	carrier	"ba'gur₃ ""packer"""		
𒀝;𒀀	ak;a	ak	"to do; to make; to act,	perform; to proceed, proceeding (math.)"	act		#epēšu opus 
𒋃	aka₃	aka	fleece	Jacke ≈ Sack		#itqu 
𒁛;𒇖	akan;akkan₃	akan	nipple, teat, udder	√gyne		#şertu 
¿	akar	akar	armor	gear		#apluhtu 
𒄑𒀉𒃸	ĝeš a₂kar₂	akar	implement, tool, utensil	gear		#unūtu 
𒀀𒆠𒋫	a-ki-ta	akita	source	 << ab'kurta աղբյուր ałbyur крыні́ца kryníca Grund Quelle origin <<< 		
𒀝𒅗𒉡𒌝	ak-ka-nu-um	akkanum	wild donkey	donkanum 𒄠 kunga ≈		#akkannu 
𒃰𒋺𒋛;𒀜𒆤	akkil;akkil₂	akkil	noise, cry, clamor, uproar; battle cry; lamentation	a'cry		#ikkillu;rigmu;tanūqātu;šīsu 
𒀜𒆤	akkil₂	akkil	where; when	𒆤 KID ≈  •quid 		#bīt what
𒀠	al	al	(compound verb nominal element) 	al		
𒄀 𒀠	gi al	al	reed fencing	Gatter al≈der		#kadaru ≈ Gatter
𒀠;𒄑𒀠;𒍏𒀠	al;ĝeš al;urud al	ʰal ᵇal	hoe, pickax; hoeing	haul Beile		#allu 
𒀠𒀝	al ak	al ak	to perform a type of hoeing 	-''-		
𒀠𒆕	al du₃	al du	to perform a type of hoeing; to dig 	-''-		
𒀠𒅗	al dug₄	al dug	to desire	dig?		#erēšu < erota
𒀠𒁲𒅗𒅗	al-sa₂dug₄-dug₄	al.DI.dugdug	proud 	stolz sa.dug.alᵒˢ горд gord гръдъ grŭdŭ <<<		
𒀀𒇲	a-la₂	ala	silt 	< Fall @ flow fluvium Fluss		
𒃺;𒄒	alal₄;alal₃	alal	cultivation; field; district, land	areal acre		#mēreštu;qerbetu 
𒊿;𒍏𒊿	alal;urud alal	alal	tube, pipe	لوله ”lule, “tube, pipe		#alallu 
𒂊𒆷𒇻;𒀀𒆷𒆷	e-la-lu;a-la-la	alala	soothing expression 	lull lullaby		
𒀀𒆷𒆷	a-la-la	alala	designation of stick 	/		
𒀩;𒍏𒀩	alan;urud alan	alan	statue; form			#şalmu 
𒀩𒍪	alan-zu	ᶜalanzu	clown	ᶜalanzu ≈ clown 𒀀𒇻𒍣𒉡 aluzinnu Ἀλαζών Ἀlazón ᾰ̓λᾱζών alāzṓn boastful, pretentious 'boastful, clownish fraud, pretending to possess medical skills'  		#ᶜaluzinnu 
𒄑𒀠𒃻𒋪	ĝeš al-ĝar-sur₉	alĝarsur	drumstick 	al Narasa@Tungusic Nar-so'z Nar-çubuk @Turkic Narunui Narunsauv a@Uralic 	<<<	
𒄋;𒂊𒈝	alim;e-lum	alim	bison; heavy; important	barium? <<<		#ditānu;kabtu;kusarikku 
𒀠 𒆥 𒀀	al-kin-a	alkina	sharpened 	al ချွန် hcuñ שָׁנוּן shanún		
𒉄	alla	alla	oak; acorn; a suppository	"𒉄 ≈ 𒀠𒁁 #allānu אלון alon ""oak"" !"	+++	#allānu 
𒀠𒆷𒈝;𒄑𒀠𒆷𒉡𒌝;𒀠𒆷𒀭	al-la-num₂;ĝeš al-la-nu-um;al-la-an	allanum	oak; acorn; acorn-shaped bead	"𒉄 ≈ 𒀠𒁁 #allānu אלון alon ""oak"" !"		#allānu 
𒀠 𒈜	al-lib	allib	stupor	λήθαργος lítharg lethargic litho ≈ lapis :		
𒎎𒀠𒉌𒂵	na₄ al-li₂ga	alliga	stone 	al'litha	<<	
𒀠𒇷𒇷𒀀𒀭𒈠	al-li-li-am₃-ma	alliliamma	soothing expression !! <<	<3	<<<	
𒀠𒈜;𒀀𒇻	al-lub;a-lu	allub	crab	"callub ≈ crab 𒈜 KA₅LUP ክራብ kərab краб crab ⲥⲁⲣⲇⲱⲟⲛ 🦀  𒀠𒈜;𒀀𒇻 al-lub;a-lu [[ה]]allub crab #alu baul@Tai 𒈜 KA₅LUP ≈ galambu in 𒀠𒈜 abu galambu ابو جلمبو ""crab""  𓍋 𓍌 article"	<<++	#alluttu 
𒀀𒇻	a-lu	alu	ram	vs ^^  𒇻 Lamm < Ram 𒇻 LUᵐ < RUᵐ :		#ālu <> bull
𒄠	am	ʳam	wild bull	≈		#rīmu 
𒄀𒀠 𒉿𒈾	gi al-PI-na	alPIna	reed fence	pinaˢ ≈ fence		
𒀠𒋻	al-tar	altar	mighty	"al tar Old English ""brave"" or ""strong""  VS 𒉆𒋻 sickness! תַּר Tar, meaning ""row,"" ""line,"" or ""formation,"" but also used metaphorically for strength or power"		
𒀠𒋻;𒄑𒀠𒋻	al-tar;ĝeš al-tar	altar	apportioned work 	"tarea  ""task"" or ""work"" @Spanish"		
𒀭𒋾𒌷𒅥𒄷;𒀠𒋻𒅥𒄷;𒀠𒋾𒌷𒅥𒄷;𒀠𒋾𒌷𒄖𒄷;𒀠𒉈𒌷𒂵𒄷	an-ti-ri₂gu₇ mušen;al-tar-gu₇ mušen;al-ti-ri₂gu₇ mušen;al-ti-ri₂gu mušen;al-de₃-ri₂ga mušen	altirigu	wren	al turkey 𓅂 𓄛 		#diqdiqqu 
𒀠𒄯𒊏;𒀠𒃡𒊏;𒀠𒇻𒊏;𒀠𒇽𒃡𒊏;𒁃	al-ur₅-ra;al-ur₃-ra;al-lu-ra;al-lu₂ur₃-ra;aluraₓ(BAHAR₂ )	alura	baked (of bricks)	𒁃		
𒀠 𒍑 𒊓	al-us₂sa	alusa	"a ""sauce"" "	"a ""sauce"" "		
𒂍𒈪;𒃣;𒀉𒈪	ᵏe₂MI;ᵏama₅;ᵏa₂mi	ᵏama	chamber; cell; women's quarters	Kammer 𓆎		#maštaku 
