#chinese mnemonics

★Stars 	Chinese 	Pinyin 	Hook 	Meaning
★★★★	逐	zhú	shoo	chase, pursue, expel, drive away, one by one
★★★★★	庭	tíng	Ting	courtyard, hall, court (of law) — cf. Germanic Thing/Ting assembly
★★★★★	沙	shā	sand	sand
★★★★	升	shēng	shang	rise, ascend, promote; liter (cf. 上 shàng = up)
★★★★	伯	bó	bro	father's elder brother, uncle; count (nobility rank)
★★★★	守	shǒu	shield	guard, defend, keep watch (cf. Schutz)
★★★★	追	zhuī	chase	chase, pursue, run after; seek, track down
★★★★★	皮	pí	peel	skin, hide, peel
★★★★	皮	pí	fur	skin, hide, fur, feather; outer (cf. Sumerian 𒁁𒋻 pattar)
★★★★★	配	pèi	pair	match, pair up, mix; deserve
★★★★★	率	shuài	lead	lead, command (also read lǜ: rate, ratio)
★★★★	量	liàng	lang	measure, quantity, capacity
★★★★★	争	zhēng	Zank	contend, dispute, fight
★★★★	自找	zìzhǎo	self-search	bring trouble on oneself, ask for it (deserve it)
★★★★	敲	qiāo	hau	knock (hau = German 'hit')
★★★★	力量	lìliàng	longing	strength, power (the power of love = longing)
★★★★	陶醉	táozuì	trunken	intoxicated, enraptured (drunk with joy)
★★★★	氟	fú	fluorine	fluorine
★★★★	焙	bèi	bake	to dry over a fire, bake
★★★★	雏	chú	chick	chick, young bird
★★★★	珥	ěr	ear	jade/pearl earring
★★★★	锰	měng	mangan	manganese
★★★★	酸	suān	sour	sour, sore, acid
★★★★★	鲨	shā	shark	shark
★★★★	孙	sūn	son	grandson
★★★★★	诉	sù	sue	tell, complain, sue
★★★★	繁乱	fánluàn	Fangleine	complicated and chaotic, tangled
★★★	戊	wù	五 wǔ	5th Heavenly Stem (calendar cycle)
★★★★	莲花	liánhuā	lotus	lotus flower
★★★★	清澈	qīngchè	clean & clear	clear, limpid (water)
★★★	无限	wúxiàn	unlimited (≈ wúqióng, no limit)	infinite, unlimited
★★★	无穷	wúqióng	unending	infinite, endless, boundless
★★★★	向日葵	xiàngrìkuí	sunflower	sunflower
★★★★	渺小	miǎoxiǎo	mini	tiny, insignificant, small
★★★	加	jiā	add	add, plus
★★★	就近	jiùjìn	join in	nearby, in the vicinity, come near
★★★	这样	zhèyàng	such	such, like this, this way
★★★★	飞翔	fēixiáng	fliegen	fly, soar
★★★★	钢枪	gāngqiāng	cannon	steel gun, rifle
★★★★	泡沫	pàomò	foam	foam, bubble
★★★★★	背包	bèibāo	backpack	backpack
★★★	兴	xīng	ka-ching	prosper, thrive, rise
★★★	脆弱	cuìruò	zerbrechlich	fragile, weak
★★★★	小镇	xiǎozhèn	small town	small town
★★★★	斗	dòu	Duell / tussle	fight, struggle, tussle
★★★★	拼	pīn	pin-together	piece together, assemble, spell
★★★★	聘	pìn	appoint	hire, employ, appoint
★★★★★	亲	qīn	kin	relative, kin, family; dear
★★★★★	告别	gàobié	goodbye	say goodbye, farewell
★★★★★	康	kāng	≠krank!	healthy, well-being (opposite of German 'krank'=sick)
★★★★★	靠	kào	count on	lean on, rely on, count on
★★★★★	拜托	bàituō	bitte	please, I beg you, ask a favor
★★★★	不堪一击	bùkān yījī	can't withstand	cannot withstand a single blow, easily defeated
★★★★★	监牢	jiānláo	jail	prison, jail
★★★★	等级	děngjí	ding	class, grade, rank
★★★★	啰唆	luōsuo	lose (lissan/tongue)	long-winded, verbose, talkative
★★★★★	绿洲	lǜzhōu	l'oasis	oasis
★★★★	才	cái	capable	talent, ability, gift
★★★★	脚步	jiǎobù	step	footstep, step, pace
★★★★	母带	mǔdài	master tape	master tape (original recording)
★★★★	为	wéi	werd(en) / faire	become; act as, do
★★★	交叉路口	jiāochā lùkǒu	junction	junction, crossroads
★★★★★	秘密	mìmì	mimi	secret
★★★★	头	tóu	top	head
★★★★	天亮	tiānliàng	day-light	daybreak, dawn
★★★★★	倍	bèi	by-fold	-fold, times (multiplier)
★★★★	社	shè	society	society, agency
★★★★	私	sī	selfish	private, personal, selfish
★★★★	犯	fàn	offend	offend, violate, commit (a crime)
★★★★★	缺口	quēkǒu	gap	gap, breach, notch
★★★★	借口	jièkǒu	excuse	excuse, pretext
★★★★	方式	fāngshì	fashion	manner, method, way
★★★★	带给	dàigěi	give to	bring to, give to
★★★★	入土	rùtǔ	runter	buried (lit. enter earth)
★★★★★	店	diàn	inn	shop, inn, store
★★★★	殿	diàn	Diele	hall, temple, palace
★★★★★	代替	dàitì	substitute	substitute, replace
★★★★	乔	qiáo	giant	tall, lofty
★★★★★	眼	yǎn	eye	eye
★★★★	俏	qiào	cute	cute, pretty, smart-looking
★★★★★	肥	féi	fat / fertile	fat, fertile
★★★★	线	xiàn	string	thread, wire, line
★★★★	非	fēi	fehl	wrong, not, non-
★★★★	片	piàn	plain	flat piece, slice, film
★★★★	节目	jiémù	item	program, item (on a show)
★★★★★	剩	shèng	sheng	remain, leftover
★★★	乖	guāi	good	obedient, well-behaved
★★★★	帖	tiě	tile card	card, note, invitation
★★★★	默默	mòmò	mute mute	silently, quietly
★★★	酷	kù	cruel	cruel; cool (slang)
★★★★★	化学	huàxué	chemistry	chemistry
★★★★	负	fù	Fuhr(e)	carry, bear; negative; owe
★★★★	旧日	jiùrì	gero-day	old days, bygone days
★★★★	离	lí	leave	leave, depart, away from
★★★★★	看不见	kànbujiàn	can't be seen	can't see, invisible
★★★★	永	yǒng	long	forever, eternal, long-lasting
★★★★	永远	yǒngyuǎn	forever (young)	forever, eternally
★★★★★	欧若拉	Ōuruòlā	Aurora	Aurora (name); aurora (borealis)
★★★★	魔力	mólì	magic	magic power, charm
★★★	筋	jīn	gin	tendon, muscle, sinew
★★★	长	zhǎng	senior	elder, senior, chief; grow
★★★★★	晚	wǎn	evening	evening, late
★★★★★	参	shēn	ginseng	ginseng
★★★★	参	cān	con	join, participate
★★★★	酒	jiǔ	joint	wine, alcohol, liquor
★★★	断	duàn	twine	break, snap, cut off
★★★★	节	jié	joint	joint, festival, node
★★★★	字母	zìmǔ	symbol	letter (of alphabet)
★★★★	咬	yǎo	jaw	bite
★★★★★	厨师	chúshī	chef	cook, chef
★★★	一切	yīqiè	everything	everything, all
★★★	吉利	jílì	lucky	lucky, auspicious
★★★★	坏	huài	harmful	bad, broken, harmful
★★★	金	jīn	coin	gold, metal, money
★★★★★	信号	xìnhào	signal	signal
★★★★★	蜜蜂	mìfēng	miel-fang	bee
★★★★★	板	bǎn	plank	board, plank
★★★★	蛇	shé	serpent	snake, serpent
★★★★★	蛙	wā	frog	frog
★★★	织	zhī	sew	weave, knit
★★★★	绕	rào	reel	coil, wind around
★★★★★	谈	tán	talk	talk, chat
★★★★	搜索	sōusuǒ	scout	search
★★★★★	波	bō	Woge	wave
★★★	必	bì	bee	must, be sure to
★★★	比	bǐ	wie	compare, than
★★★★★	签	qiān	sign	sign, signature
★★★★	旧	jiù	gero	old (as in gerontology)
★★★	跃	yuè	yonder	leap, jump
★★★	正	zhèng	straight	straight, correct, upright
★★★	旅	lǚ	Reise	travel, trip
★★★★	绑匪	bǎngfěi	bandit	kidnapper
★★★	关	guān	gang	pass, checkpoint; close
★★	谷类	gǔlèi	cereal	cereal, grains
★★★★	犹	yóu	you	still; just as, like
★★★★	奇拔	qíbá	super	extraordinary, outstanding
★★★	抱着	bàozhe	pack	hold, carry in the arms
★★★	可靠	kěkào	can count on you	reliable, dependable
★★★★★	可口可乐	Kěkǒu Kělè	Coca-Cola, Coke	Coca-Cola
★★★★ 	蜜 	mì  	Miel / mead  	honey  	蜜:⿱宓虫 mì chóng
★★★★★	拖	tuō	tow	tow, drag
★★★★★	嘿	hēi	hey!	hey!
★★★★★	癦	mò	mole	mole
★★★★  	鿖 	ke/he 	合利斯托斯 Hélìsītuōsī 	Christus
★★★★★	网	wǎng	WWW / 万维网	web, net
★★★★★	快	kuài	quick	quick, fast
★★★★★	看	kàn	scan	look, see
★★★★★	咩	miē	meh	sheep's bleat
★★★★★	哞	mōu	moo	moo
★★★★★	嘘	xū	shh!	shh!
★★★★★	咚	dōng	dong!	thump, bang
★★★★★	爆	bào	pow!	explode
★★★★★	胖	pàng	paunch	fat
★★★★★	殁	mò	mort / morir / muerte	die
★★★★★	霉	méi	mildew / mold	mold, mildew
★★★★★	给	gěi	give	give
★★★★★	棒	bàng	banger!	excellent
★★★★★	拽	zhuài	zieh!	pull, drag
★★★★★	摆摆	bǎibai	bye-bye 👋	wave/sway
★★★★★	模式	móshì	mode	mode, pattern
★★★★★	疼	téng	twinge	ache, hurt
★★★★★	害	hài	harm	harm
★★★★★	雷达	léidá	radar	radar
★★★★★	舍	shě	shed	shed, give up
★★★★½	默	mò	mute	silent
★★★★½	哭	kū	Kummer	cry
★★★★½	陶	táo	Ton	pottery
★★★★½	炖	dùn	dünsten	stew/braise
★★★★½	霉	méi	mildew	mildew
★★★★½	蚂蚁	mǎyǐ	Ameise	ant
★★★★½	纆	mò	mooring	cord/rope
★★★★½	掐	qiā	quetschen	pinch
★★★★½	拍	pāi	pat	pat/clap
★★★★½	碰	pèng	bang	collide/bump
★★★★½	蹦	bèng	bounce	bounce/jump
★★★★½	崩	bēng	bang	collapse/burst
★★★★½	嚼	jiáo	jaw	chew
★★★★½	泉	quán	Quell(e)	spring/source
★★★★½	铃	líng	ring	bell
★★★★½	盆	pén	pan	basin
★★★★½	杯	bēi	Becher	cup
★★★★½	袋	dài	Tüte	bag
★★★★½	绳	shéng	string	rope/string
★★★★½	敲	qiāo	K.O. → knock-out	knock
★★★★½	良久	liángjiǔ	lang	long time
★★★★½	船	chuán	Kahn	boat
★★★★½	燃	rán	brenn!	burn
★★★★½	咳	ké	kehh!	cough
★★★★½	哼	hēng	hum	hum/snort
★★★★½	嘶	sī	ssss	hiss, neigh
★★★★½	扑	pū	pounce	pounce, rush at
★★★★½	太棒了	tài bàng le	banger!	fantastic!
★★★★½	幽默	yōumò	humor	humor
★★★★½	困难	kùnnan	conundrum	difficulty
★★★★½	恍惚	huǎnghū	hungover	dazed, in a trance
★★★★½	怕	pà	peur	fear
★★★★½	受	shòu	suffer	receive, suffer
★★★★½	堪	kān	kann	can bear, endure
★★★★½	挤	jǐ	jostle	squeeze, jostle
★★★★½	消	xiāo	ciao!	vanish, dispel
★★★★½	落	luò	lower	fall, drop
★★★★½	微弱	wēiruò	weak	faint, weak
★★★★½	亮	liàng	light	bright, light
★★★★½	破	pò	pop / broke	break, burst
★★★★½	离开	líkāi	leave	leave, depart
★★★★½	妄	wàng	wrong	absurd, presumptuous
★★★★½	守护	shǒuhù	Schutz	guard, protect
★★★★½	强	qiáng	strong	strong
★★★★½	歌声	gēshēng	Gesang	singing, song
★★★★½	颂	sòng	song / chant	ode, praise
★★★★	舔	tiǎn	tongue	lick
★★★★	倒	dǎo	down	fall over
★★★★	低	dī	deep	low
★★★★	新	xīn	shiny	new
★★★★	沌	dùn	Dunst / dunstig	turbid/murky
★★★★	盹	dǔn	dozing / duhn	doze
★★★★	囤	dùn	ton [of grain]	store/hoard
★★★★	屯	tún	town	settlement
★★★★	魔	mó	monster / magic	demon/magic
★★★★	高	gāo	groß	high/tall
★★★★	捏	niē	nip	pinch
★★★★	吼	hǒu	howl	roar
★★★★	摇	yáo	yaw	sway
★★★★	啃	kěn	knabbern	gnaw
★★★★	窝	wō	Wohnung	nest/den
★★★★	漏	lòu	loose	leak
★★★★	砸	zá	zap!	smash
★★★★	踏	tà	tap	step/tread
★★★★	吸	xī	zieh	suck/draw in
★★★★	响	xiǎng	声 shēng → sound	sound/ring
★★★★	捆	kǔn	knot	bind/tie
★★★★	甩	shuǎi	swing / shake	swing/shake off
★★★★	良	liáng	langt = good enough	good
★★★★	浪	làng	long wave	wave
★★★★	渡	dù	through	cross/ferry
★★★★	凉	liáng	冷 lěng	cool
★★★★	测试	cèshì	checks	test
★★★★	自动	zìdòng	auto / self-doing	automatic
★★★★	列	liè	line	row/line
★★★★	跳水	tiàoshuǐ	tauchen	dive
★★★★	流	liú	liquid / flow	flow
★★★★	霜	shuāng	snow	frost
★★★★	挖	wā	wühlen	dig
★★★★	哽	gěng	gag	choke
★★★★	呼	hū	huuh!	exhale, call out
★★★★	搂	lǒu	love	embrace, hug
★★★★	纶	lún	line	silk thread
★★★★	闻	wén	whiff	smell
★★★★	爆炸	bàozhà	banger	explosion
★★★★	漂	piāo	flow / drift	float, drift
★★★★	复杂	fùzá	fuzzy / fussy	complicated
★★★★	设置	shèzhì	set	settings
★★★★	空壳	kōngké	conch	empty shell
★★★★	卷入	juǎnrù	reinziehen	get drawn into
★★★★	无力	wúlì	unwell / unable	powerless, unable
★★★★	沉	chén	sunken	sink
★★★★	全	quán	ganz	whole, entire
★★★★	明	míng	morning / moon	bright
★★★★	传	chuán	convey / confer	transmit, convey
★★★★	握	wò	wield	grasp, hold
★★★★	屋子	wūzi	Wohnzimmer	room
★★★★	落泪	luòlèi	heulen	shed tears
★★★★	颤抖	chàndǒu	shudder	tremble, shudder
★★★★	肯	kěn	can	consent, be willing
★★★★	投降	tóuxiáng	turn oneself in	surrender
★★★★	足	zú	zapato / foot	foot
★★★★	甚	shén	sehr	very, extremely
★★★★	散	sàn	asunder	scatter
★★★★	轮廓	lúnkuò	line + contour	outline, contour
★★★★	拼凑	pīncòu	pinch + patch	piece together
★★★★	指引	zhǐyǐn	zeigen	point the way, guide
★★★★	负荷	fùhè	Fuhre	burden, load
★★★★	依赖	yīlài	rely	rely on
★★★★	茫	máng	mannigfaltig / many	vast, boundless
★★★★	望	wàng	Wunsch / want	gaze, hope for
★★★★	慌	huāng	worrying	flustered, panicky
★★★★	挥	huī	hi! 👋	wave, wield
★★★★	磨	mó	mahlen	grind, wear down
★★★★	帽	mào	Mütze / miter	hat, cap
★★★★	泥淖	nínào	mire / morass	mire, bog
★★★★	彷徨	pánghuáng	pondering	pace irresolutely
★★★★	蘑菇	mógu	mogu	mushroom
★★★★	现代	xiàndài	Hyundai	modern
★★★★	跨	kuà	cross / queren	stride across
★★★★	民	mín	man / men	people
★★★★	刺	cì	zwicken / sting	sting, prick
★★★★	推开	tuīkāi	push	push away
★★★★	服务	fúwù	favor / serve	service
★★★★	谈论	tánlùn	tongue	discuss
★★★★	标记	biāojì	blaze / brand	mark
★★★★	抚摸	fǔmō	fummeln	caress, stroke
★★★★	离别	líbié	leave	part, take leave
★★★½	浮	fú	float	float
★★★½	硬	yìng	eng → tight/rigid	hard/rigid
★★★½	困	kùn	confined	trapped
★★★½	吻	wěn	Wonne	kiss
★★★½	昧	mèi	murky	dark/obscure
★★★½	颓废	tuífèi	teuflisch	decadent/dispirited
★★★½	当然	dāngrán	denn klar	of course
★★★½	按钮	ànniǔ	an knob / button	button
★★★½	序列	xùliè	Seil / line	sequence
★★★½	无法	wúfǎ	unfähig	unable
★★★½	入睡	rùshuì	reinschlafen	fall asleep
★★★½	贪杯	tānbēi	Trunk / Becher	fond of drinking
★★★½	危险	wēixiǎn	wehe!	dangerous
★★★½	烤	kǎo	cook	roast/bake
★★★½	软	ruǎn	round	soft
★★★½	拧	nǐng	wring	twist/wring
★★★½	滴	dī	drip	drip, drop
★★★½	暖	nuǎn	warm	warm
★★★½	不忍	bùrěn	unbearable	cannot bear to
★★★½	队	duì	duo	team
★★★½	同步	tóngbù	sync-pace	synchronize
★★★½	害怕	hàipà	harm + peur	be afraid
★★★½	呼吸	hūxī	huste / hatchi	breathe
★★★½	忘	wàng	won't recall / wrong	forget
★★★½	谎	huǎng	whopper / wrong	lie
★★★½	荒	huāng	hunger	desolate, barren
★★★½	快乐	kuàilè	gay luck	happy
★★★½	陆地	lùdì	land	land
★★★½	新鲜	xīnxiān	shiny + fresh	fresh
★★★½	地铁	dìtiě	down-train	subway
★★★½	妥协	tuǒxié	touch terms	compromise
★★★½	到达	dàodá	to-there	arrive
★★★½	折磨	zhémó	chemo	torment
★★★½	皱纹	zhòuwén	wrinkle	wrinkles
★★★½	痕迹	hénjì	hints	traces, marks
★★★½	疯	fēng	fun / fool	crazy, wild
★★★½	姿态	zītài	stature	posture, bearing
★★★½	筷	kuài	quick sticks	chopsticks
★★★½	笨	bèn	Ben = dumb	stupid
★★★½	安静	ānjìng	un-Zank	quiet
★★★½	欠	qiàn	gähnen	owe, lack
★★★½	屁	pì	pee-pee	fart
★★★½	扁	biǎn	plane / plank	flat
★★★½	骗	piàn	feign	deceive
★★★½	健	jiàn	kühn	healthy, robust
★★★½	承诺	chéngnuò	con-nod / covenant	promise
★★★½	群	qún	crowd	flock, crowd
★★★½	想起	xiǎngqǐ	think up	recall
★★★½	发誓	fāshì	for sure	vow, swear
★★	摄像头	shèxiàngtóu	shoot-cam	camera
★★★½	面包	miànbāo	Mehl-Bag	bread
★★★	没	mò	mò death/end cluster	sink/submerge
★★★	莫	mò	mò absence cluster	not/no one
★★★	灭	miè	mò/mort cluster	extinguish/destroy
★★★	末	mò	maximum → endpoint	end
★★★	模型	móxíng	model / mold	model
★★★	顿/等	dùn/děng	Ding! → stop/wait	pause/wait
★★★	尝试	chángshì	change	try
★★★	变体	biàntǐ	variant	variant
★★★	程序	chéngxù	chain/sequence	program/procedure
★★★	钉	dīng	Ding!	nail
★★★	瓶	píng	Pulle 	bottle
★★★★	踢	tī	Tritt / ticker	kick
★★★	锁	suǒ	secure	lock
★★★	舔舐	tiǎnshì	tongue	lick
★★★	仑	lún	line	arrange, put in order
★★★	整整	zhěngzhěng	ganze	whole, exactly
★★★	扔	rēng	wrench / range	throw
★★★	巧	qiǎo	schlau	clever, skillful
★★★	退缩	tuìsuō	Zeh einziehen	shrink back
★★★	谅解	liàngjiě	Logik	understand, excuse
★★★	以为	yǐwéi	oh weh / ideo-wit	mistakenly think
★★★	照顾	zhàogù	Sorge	look after
★★★	挥霍	huīhuò	hinwerfen	squander
★★★	摩	mó	mull / rub	rub, mull over
★★★	漠	mò	moor / Mauretanien	desert
★★★	埋	mái	ausmerzen	bury
★★★	摆渡	bǎidù	boat bus	ferry across
★★★	考	kǎo	quiz	examine, test
★★★	冒险	màoxiǎn	mission	adventure, risk
★★★	消	xiāo	ciao! 👋 |	disappear; vanish
★★★★★	发誓	fāshì	for sure |	swear; vow
★★★★★	发烧	fāshāo	fait chaud (“it’s hot”) 🇫🇷 |	have a fever
★★★★★	被	bèi	by |	by; passive marker
★★★★★	站	zhàn	stand |	stand; station
★★★★★	吨	dūn	ton |	metric ton
★★★★★	边…边…	biān…biān…	beim…beim… 🇩🇪 |	while doing both
★★★★★	围绕	wéirào	way round |	surround; revolve around
★★★★★	思念	sīniàn	sinnen / sehnen 🇩🇪 |	miss; long for
★★★★½	现代	xiàndài	Hyundai |	modern; modern times
★★★★½	炒	chǎo	chaud (“hot”) 🇫🇷 |	stir-fry
★★★★½	类	lèi	like |	kind; type
★★★★½	喉咙	hóulóng	Hals / Lunge 🇩🇪 |	throat
★★★★½	邦	bāng	Bund 🇩🇪 |	state; nation
★★★★½	都	dōu	tous (“all”) 🇫🇷 |	all; both
★★★★½	蘑菇	mógu	moku (Mongolian loan) |	mushroom
★★★★	服务	fúwù	favor |	serve; service
★★★★	刃	rèn	Rand 🇩🇪 |	blade; edge
★★★★	指	zhǐ	zeigen 🇩🇪 |	point; finger
★★★★	铁路	tiělù	train road |	railway
★★★★	一直	yìzhí	ein Seil (“one line/rope”) 🇩🇪 |	straight; all along
★★★★	春天	chūntiān	schön time |	springtime
★★★★	钝	dùn	done / dumb |	dull; blunt
★★★★	纯	chún	clean |	pure
★★★★	锋	fēng	front |	edge; vanguard
★★★★	户	hù	house |	household; door
★★★★	牙	yá	jaw |	tooth
★★★★	湖	hú	Kuhle 🇩🇪 |	lake
★★★★	哀	āi	ache |	sorrow; mourn
★★★★	挨	ái	ache |	suffer; endure
★★★★	把式	bǎshi	boss |	skilled practitioner
★★★★	胡同	hútòng	gudum (Mongolian loan) |	alley; lane
★★★★	流连	liúlián	weilen 🇩🇪 |	linger; be reluctant to leave
★★★½	拼凑	pīncòu	pinch / patch |	piece together
★★★½	温柔	wēnróu	warm |	gentle; tender
★★★½	活	huó	hayat (“life”) |	live; alive
★★★½	按照	ànzhào	anschauen 🇩🇪 |	according to
★★★½	考试	kǎoshì	course test |	exam; test
★★★½	癌	ái	ache |	cancer
★★★½	索	suǒ	Seil / seek |	rope; search
★★★½	往	wǎng	walk / gone |	toward; go
★★★½	脑洞	nǎodòng	Denktiefe / dunkel 🇩🇪 |	brainwave; imagination
★★★★	玦	jué	jade	jade ring
★★★★★	苯	běn	benzene	benzene
★★★★	鄙人	bǐrén	bin I	I (humble, self-deprecating)
★★★★	俺	ǎn	An, I am	I (dialectal)
★★★	规	guī	guide	rule, guide
★★★	正规	zhèngguī	regular	regular, standard
★★★★	胃	wèi	Way (of food)	stomach
★★★★	胃口	wèikǒu	food appetite	appetite
★★★★	背景	bèijǐng	backing	background
★★★★	琥珀	hǔpò	tiger-beige Bernstein	amber
★★★	茉莉花	mòlihuā	moonlight flower	jasmine flower
★★★	月牙	yuèyá	moon fang	crescent moon
★★★	止	zhǐ	Zeh (toe)	toe / stop
★★★	桎梏	zhìgù	Zügel (reins)	shackles
★★★	牯牛	gǔniú	gnu	cow, gnu
★★★★	入	rù	rein (German: into)	enter
★★★	内	nèi	hinein	inner
★★★★	架构	jiàgòu	frame(work)	structure
★★★	懒	lǎn	langsam, lazy	lazy
★★★★	鼓励	gǔlì	give love	encourage
★★★	工资	gōngzī	compensation	salary
★★★★★	救命	jiùmìng	save life	help! save a life
★★★	免	miǎn	minus	avoid, exempt
★★★★	邮件	yóujiàn	Post Sache	mail
★★★	难	nán	non ~ hardly	difficult
★★★★★	自拍	zìpāi	selfy	selfie
★★★★★	囧	jiǒng	Junge!	embarrassed
★★★★	意外	yìwài	Auwei, Unfall	accident
★★★★	咨询	zīxún	session, consultation	consult
★★★★	问题	wèntí	Wendung: problem	problem, question
★★★★	麻烦	máfan	mei fun, mad annoying	troublesome
★★★	甜	tián	tender sweet at tongue	sweet
★★★★	火炎虫	huǒyánchóng	fire-flame bug	firefly
★★★★	炎症	yánzhèng	-itis	inflammation
★★★	衷	zhōng		inner feeling
★★★★	布告	bùgào	proclaim	proclamation
★★★★	颁布	bānbù	publish	promulgate
★★★	森	sēn		dense forest
★★★	良师	liángshī	good lecturer	good teacher
★★★★	狼	láng	𒈜 LIK λύκος lúkos	wolf
★★★★	牛排	niúpái		steak
★★★★	这条街	zhè tiáo jiē	s'Trasse	this street
★★★★	这支笔	zhè zhī bǐ	Schreiber	this pen
★★★	刀刃	dāorèn	Rand	blade edge
★★★★	浇水	jiāoshuǐ	gieße	water (plants)
★★★★	浇灌	jiāoguàn	Gießkanne	irrigate
★★★	罐	guàn	Kanne	jar, can
★★★	喇叭	lǎba		trumpet, horn
				
				
★★★★	崇拜	chóngbài	compassion, worship	worship
★★★★	算了	suànle	lass sein	forget it
★★★★	可惜	kěxī	shame, loss of face	pity, shame
★★★★	好不容易	hǎobùróngyì	hard to reach	not easy at all
★★★	眺望	tiàowàng	trekking	gaze into the distance
★★★★	宽容	kuānróng	Gnade	tolerance
★★★	落叶	luòyè	leaves fallen low	fallen leaves
★★★★★	守护神	shǒuhùshén	Schutzengel	guardian deity
★★★	神秘	shénmì	shamanic	mysterious
★★★★	方向	fāngxiàng	Fahn(stang)	direction
★★★★	舍得	shěde	scheide	willing to give up
★★★★	失去	shīqù	geschieden	lose
★★★★	割爱	gē'ài	give up ♡	give up something loved
★★★	互相	hùxiāng	gegenseitig	mutually
★★★★	台风	táifēng	Wind-Orgel (wind organ)	typhoon
★★★	关心	guānxīn	concern, care	care about
★★★★	握紧	wòjǐn	wield, hold tense	grip tightly
★★★★	向往	xiàngwǎng	want	yearn for
★★★	了无	liǎowú	not the least	utterly none
★★★★	阻挡	zǔdǎng	shut down, stop	block, obstruct
★★★	伺候	cìhou	serve: wait	serve, wait on
★★★	缺点	quēdiǎn	end point	shortcoming
★★★★	还能多久	hái néng duō jiǔ	how long Dauer 	how much longer
★★★	等到	děngdào		wait until
★★★★	愿	yuàn	yearn	wish, hope
★★★★	奴隶	núlì	null, Muli	slave
★★★	造	zào	bau (build)	build, make
★★★★	筑成	zhùchéng	construct	construct
★★★★	长城	Chángchéng	Chinese Chain	Great Wall
★★★★	民族	mínzú	Menschen	nation, ethnicity
★★★★	危	wēi	Wehr, Gefahr	danger
★★★★	险	xiǎn	sinister	risky, sinister
★★★★	被迫着	bèipòzhe	be pushed	forced, compelled
★★★★	发出	fāchū	fashion, issue	issue, emit
★★★★	吼声	hǒushēng	howl sound	roar sound
★★★★	万	wàn	one-penth	ten thousand
★★★	众	zhòng	crowd	crowd, multitude
★★★★	万众一心	wànzhòngyīxīn	one heart and mind	united as one
★★★★	冒着	màozhe	march	braving, risking
★★★★	敌人	dírén	dissenter / dissident	enemy
★★★★	炮火	pàohuǒ	fire	gunfire
★★★★	前进	qiánjìn	charging	advance, forward
★★★	堆	duī	tell	pile, mound
★★★★	创新驱动	chuàngxīn qūdòng	driven by innovation	innovation-driven
★★★	创	chuàng	gene	create
★★★★	刺眼	cìyǎn	cyan	dazzling, glaring
★★★	介	jiè	join, in 	between, introduce
★★★	花子	huāzi	rose (nickname)	beggar / flower nickname
★★★★	玫瑰	méigui	rose-quartz	rose
★★★★	特别	tèbié	très bien	special
★★★★	旁	páng	wing	side
★★★★	方	fāng	Windfang, fence	square, region
★★★	办	bàn	punish	handle, do
★★★	膀	bǎng	wing	shoulder, wing
★★★	边	biān	wend, wing: side	side, edge
★★★	榜	bǎng	placard	list, placard
★★★★	镑	bàng	pound	pound (currency)
★★★	蓓	bèi	bud	bud
★★★	空位	kòngwèi	vacant	vacancy
★★★	行星	xíngxīng	𓂻𓂻	planet
★★★	地球	dìqiú	die Geoʳde	earth
★★★★	雷声	léishēng	lightning & thunder	thunder
