GA	G	shows	short	english	see / vs	speak	prove	gardiner path	cluster
A43	𓀲	Satis	Scotty	king wearing  S1	𓋴 𓍿 𓏏 𓄝 𓏏 𓀲				
A44	𓀴	potentate		king wearing  S1 with  S45	𓏣 𓅓 𓀜 𓁹 𓆑 				
A45	𓀵	Herrscher	ruler	king wearing  S3	𓋾 𓈎 𓄿 𓀵				
A47	𓀸	shepherd		shepherd seated and wrapped in mantle, holding stick					
A48	𓀹	statue	scouter	beardless man seated and holding knife	𓋴 𓌬 𓐝 𓀹	guidance			
A49	𓀺	guard	ward	seated Syrian holding stick					
A49	𓀺	Fahrer		seated Syrian holding stick	𓇋 𓂋 𓏮 𓀺	purpose			
A50	𓀻	cinnamon	amun	noble on chair		cinamon			
A50	𓀻	Special	spice	noble on chair	𓈙 𓊪 𓋴 𓋴 𓀻 𓏥				
A51	𓀼	Amon		noble on chair with  S45					
A52	𓀽	sacher	spiritus	noble squatting with  S45	𓊃 𓂝 𓎛 𓃶 𓀽|	𓅜 𓏤 𓀽|			
A53	𓀾	statut		standing mummy					
A54	𓀿	mummy		lying mummy					
A55	𓁀	corpse		mummy on bed					
A56	𓁁			seated man holding stick					
A57	𓁂	an offering the King gives|		man holding  R4					
A58	𓁃	spatan	digger	man applying hoe to ground					
A59	𓁄	Elder of the portal		man threatening with stick					
A60	𓁅			man sowing seeds					
A61	𓁆			man looking over his shoulder					
A62	𓁇	Asiatic		Asiatic					
A63	𓁈			king on throne holding staff					
A64	𓁉			man sitting on heels holding forward  W10					
A65	𓁊			man wearing tunic with fringes and holding mace					
A66	𓁋			man holding  Y8					
A67	𓁌	Zwerg	dwarf	dwarf					
A68	𓁍			man holding up knife					
A69	𓁎			seated man with raised right arm and left arm hanging down 					
B1	𓁐	ta	Thea	seated woman					
B2	𓁑	IA	Genie	pregnant woman					
B3	𓁒	mess		woman giving birth					
B4	𓁔	Maria		combination of  B3 and  F31					
B5	𓁕			woman suckling child					
B6	𓁖			woman on chair with child on lap					
B7	𓁗			queen wearing diadem and holding flower					
B8	𓁘			woman holding  M9					
B9	𓁙			woman holding  Y8					
C1	𓁛	Sahara		god with  N6					
C2	𓁜	Shora	Re	god with head of falcon with sun on head and holding  S34					
C3	𓁟			god with head of ibis					
C4	𓁠			god with head of ram					
C5	𓁡			god with head of ram holding  S34					
C6	𓁢			god with head of jackal					
C7	𓁣			god with head of Seth-animal					
C8	𓁤			ithyphallic god with  S9, uplifted arm and  S45					
C9	𓁥			goddess with sun and horns					
C10	𓁦			goddess with fe					
C11	𓁨			god with arms supporting (the sky) and  M4 on head					
C12	𓁩			god with  S9 and  S40					
C13	𓁪			 C12 reversed					
C14	𓁫			god with  S9 and  T16a					
C15	𓁬			 C14 reversed					
C16	𓁭			god wearing  S3 with  S34					
C17	𓁮			god with head of falcon and  S9					
C18	𓁯			squatting god					
C19	𓁰			mummy-shaped god					
C20	𓁱			mummy-shaped god in shrine					
C21	𓁲 			Bes 					
C22	𓁳			god with head of falcon and moon disk 					
C23	𓁴			goddess with head of feline and  N6					
C24	𓁵			god wearing  S3 with  S40					
D1	𓁶	1st		head in profile					
D2	𓁷	ob		face					
D3	𓁸	hair		hair					
D4	𓁹	eye	meye	eye					
D5	𓁺	grey		eye touched up with paint					
D6	𓁻	vein	veyn	eye with painted upper lid					
D7	𓁼	weinen	weyn	eye with painted lower lid					
D8	𓁽	shine	sheyn	eye enclosed in  N18					
D9	𓁿	ray	reye	eye with flowing tears					
D10	𓂀	fine	feyn	wḏꜣt-eye					
D11	𓂁			left part of white of  D10					
D12	𓂂			pupil of eye					
D13	𓂃			eye-brow					
D14	𓂄			right part of white of  D10					
D15	𓂅			diagonal marking of  D10					
D16	𓂆			vertical marking of  D10					
D17	𓂇			combination of  D16 and  D15					
D18	𓂈	ear		ear					
D19	𓂉	face	bug	nose, eye and cheek					
D20	𓂊	nose	nez	nose, eye and cheek in semi-cursive form					
D21	𓂋	mouth	R	mouth					
D22	𓂌	2//3		mouth with two strokes					
D23	𓂍	3//4		mouth with three strokes					
D24	𓂎	lip		upper lip with teeth		lip			
D25	𓂏	lips		lips with teeth		lips ps:   πτύ			
D26	𓂐	pour sprit	spit	liquid issuing from lips		pspur?			
D27	𓂑	tit		small breast					
D28	𓂓	ka		arms in kꜣ-posture					
D29	𓂔			combination of  D28 and  R12					
D30	𓂕			 D28 with tail		kau?			
D32	𓂘	patch		arms embracing					
D33	𓂙	crew	cru	arms rowing		cru, ru, aru			
D34	𓂚	archer	arxer	arms holding shield and battle-axe		arro, uerre, warr	guerre, warrior, care, fight, war, be wary		
D34	𓂚	bow+arrow	bower	arms holding shield and battle-axe		bo			
D35	𓂜	not	no	arms in gesture of negation		no 			
D36	𓂝	arm	O	forearm		o 			
D37	𓂞	darreichen	reach	forearm with  X8					
D38	𓂟	present	pre	forearm with rounded loaf					
D39	𓂠	reichen	reach	forearm with  W24					
D40	𓂡	tuen	do-er	forearm with stick					
D41	𓂢	elle	tel	forearm with palm down and bent upper arm					
D42	𓂣	arm	A	forearm with palm down and straight upper arm					
D43	𓂤	Guard	guad	forearm with  S45					
D44	𓂥	grap	krb	forearm with  S42					
D45	𓂦	sacret	secret	arm with nḥbt-wand					
D46	𓂧	Leder	hand	hand					
D47	𓂩	balm	palm	hand with palm up					
D48	𓂪	han-d	han-d	hand without thumb					
D48A	𓂫								
D49	𓂬	fist		fist					
D50	𓂭	point	10k	finger vertically					
D50_2	𓂮		20k						
D50_3	𓂯		30k						
D50_4	𓂰		40k						
D50_5	𓂱		50k						
D50_6	𓂲		60k						
D50_7	𓂳		70k						
D50_8	𓂴		80k						
D50_9	𓂵		90k						
D50_V	𓂶								
D51	𓂷	finger		finger horizontally					
D52	𓂸	pen	hannis	phallus					
D52S	𓂹	penis							
D53	𓂺	essence		liquid issuing from phallus					
D54	𓂻	go 	irern	legs walking					
D54A	𓂼								
D55	𓂽	turn		legs walking backwards					
D56	𓂾	pod	foot	leg					
D57	𓂿	fight	ft	combination of  D56 and  T30					
D58	𓃀	Bein	b 	foot					
D59	𓃁	po 	bo	combination of  D58 and  D36					
D60	𓃂	pour	pure	 D58 under vase from which water flows					
D61	𓃃	area		three toes oriented leftward					
D62	𓃄			three toes oriented rightward					
D63	𓃅	tory	2	two toes oriented leftward					
D64	𓃆	palm		hand with palm down					
D65	𓃇	pony		lock of hair					
D66	𓃈	pen		arm with reed pen					
D67	𓃉	punkt		dot see sora ore and ring  po?					
E1	𓃒	bull		bull					
E2	𓃓	api		bull charging					
E3	𓃔	calf		calf					
E4	𓃕	sacred cow		sacred ḥsꜣt-cow					
E5	𓃖	cow		cow suckling calf					
E6	𓃗	horse		horse					
E7	𓃘	donkey		donkey					
E8	𓃙	kid		kid					
E8A	𓃚								
E9	𓃛	eve	gen	newborn bubalis or hartebeest					
E10	𓃜	bovine		mature bovine lying down					
E11	𓃝	ram		ram					
E11A	𓃞			ram					
E12	𓃟	pig		pig					
E13	𓃠	cat		cat					
E14	𓃡	dog		dog (saluki)					
E15	𓃢	sith		lying canine					
E16	𓃣			lying canine on shrine					
E17	𓃤			lying canine on shrine with  S45					
E18	𓃥	fox	jackal	jackal					
E18A	𓃦			jackal looking back					
E19	𓃧			wolf on  R12 with šdšd					
E19A	𓃨			combination of  E19 and  T3					
E20	𓃩	seth		Seth-animal					
E20A	𓃪			combination of  E20 and  V30					
E21	𓃫			lying Seth-animal					
E22	𓃬	lion		lion					
E23	𓃭	leo		lying lion					
E24	𓃮	pard		panther					
E25	𓃯	hippo		hippopotamus					
E26	𓃰	elephant		elephant					
E27	𓃱	giraffe		giraffe					
E28	𓃲	oryx		oryx					
E29	𓃳			combination of  E28,  N24 and some type of jar 					
E29A	𓃴	gazelle		gazelle					
E30	𓃵	aries		ibex					
E31	𓃶	sanket		goat with collar					
E32	𓃷	 monkey	baboon	baboon					
E33	𓃸	ape	monkey	monkey					
E34	𓃹	hase		hare					
E34A	𓃺	hare							
E35	𓃻	baboon	monkey	baboon					
E35A	𓃼			combination of  E36,  V36 and  V30 					
E36	𓃽	cow2		long-horned bull					
F1	𓃾	ox		head of ox					
F1A	𓃿								
F2	𓄀	ox		head of charging ox					
F3	𓄁	hip		head of hippopotamus					
F4	𓄂	part	cat	forepart of lion					
F5	𓄃	hartebeest		head of bubalis or hartebeest					
F6	𓄄	Biest		forepart of bubalis or hartebeest					
F7	𓄅	ram		head of ram					
F8	𓄆			forepart of ram					
F9	𓄇	pard	parth	head of leopard					
F10	𓄈	mac		head and neck of animal					
F11	𓄉	neck		head and neck of animal					
F12	𓄊	hals	us	head and neck of canine					
F13	𓄋	kopp	op	horns					
F13	𓄋	wpt	wpt	open	opus? (Sinuhe: wpt transcribed as "job")				
F14	𓄌	oppo		combination of  F13 and  M4					
F15	𓄍			combination of  F14 and  N5					
F15A	𓄎								
F16	𓄏	po 		horn					
F17	𓄐	pull		combination of  F16 with vase from which water flows					
F18	𓄑	tusk	Zahn	tusk					
F19	𓄒	jaw		lower jaw-bone of ox					
F20	𓄓	Zunge	waitch	tongue, longue, lingue	(l)ONGUE				
F21	𓄔	Ohr	ear	ear of bovine					
F21A	𓄕								
F22	𓄖	hock	Heck	hind-quarters of lion					
F23	𓄗	leg	hax	foreleg of ox					
F24	𓄘		axe	 F23 reversed					
F25	𓄙	burro	re	leg of ox					
F26	𓄚	xe	ind	skin of goat					
F27	𓄛	deer	tier	skin of cow with bent tail					
F28	𓄜	tier	deer	skin of cow with straight tail					
F29	𓄝		shot	'cow''s skin pierced by arrow'					
F30	𓄞	sheath	Scheide	water-skin					
F31	𓄟	Nesseln	mes	three skins tied together					
F31A	𓄠	nais	nes						
F32	𓄡	scrot	scot	'animal''s belly'					
F33	𓄢	tail		tail					
F34	𓄣	heart	Herz	heart					
F35	𓄤	gut	schönefair	heart, guts and windpipe	nfr gut				
F36	𓄥	soma		lung and windpipe					
F37	𓄦	Grat	postjet	backbone and ribs and spinal cord, spine					
F37A	𓄧	cord	grat						
F38	𓄨	coord		backbone and ribs					
F39	𓄪	cord	spinal cord, spine						
F39A	𓄩	spine							
F40	𓄫	length	lang	backbone and spinal cords					
F41	𓄬	Gral	Post.Grat	vertebrae					
F42	𓄭	rib		rib					
F43	𓄮	ribs		ribs					
F44	𓄯	haxen	ation	leg-bone with meat					
F45	𓄰	uterus	cat	uterus					
F45A	𓄱	cattle	chatte						
F46	𓄲	Over	turn	intestine					
F46A	𓄳	uber							
F46B	𓄴	über							
F47	𓄵	ofer	törn	intestine					
F48	𓄶			intestine					
F49	𓄷			intestine					
F50	𓄸	govern	gover	combination of  F46 and  S29					
F51	𓄹	Scham	Bein	piece of flesh					
F51A	𓄺	bones	Beine						
F51B	𓄻								
F51C	𓄼	Zahn	Sünd						
F52	𓄽	shit	poo	excrement					
F53	𓄾			divine rod with  F7					
G1	𓄿	Air	er	Egyptian vulture					
G2	𓅀	Geier	äaar	two Egyptian vultures					
G3	𓅁	Mair		combination of  G1 and  U1					
G4	𓅂	Fang	ng	buzzard					
G5	𓅃	bus-	har	falcon					
G5A	𓅄	Horus	hor						
G6	𓅅	Harald	herold	combination of  G5 and  S45					
G7	𓅆	Star		falcon on  R12					
GX	𓅇			falcon in boat					
GXA	𓅈			falcon in boat					
G8	𓅉			falcon on  S12					
G9	𓅊			falcon with  N5 on head					
G10	𓅋			falcon in Sokar barque					
G11	𓅌			image of falcon					
G11A	𓅍			image of falcon on  R12					
G12	𓅎			combination of  G11 and  S45					
G13	𓅏			image of falcon with  S9					
G14	𓅐	Mutter	mu	vulture			Mutti Masche=mesh[Netz]		
G15	𓅑	Mut	mut	combination of  G14 and  S45					
G16	𓅒	Nepthun	nebty	vulture and cobra e					
G17	𓅓	bird	br	owl					
G17	𓅓	owl	m 						
G18	𓅔	among		two owls					
G19	𓅕			combination of  G17 and  D37					
G20	𓅖	from	for	combination of  G17 and  D36					
G20X	𓅗			combination of  G17 and  D21					
G21	𓅘	Puter		guinea-fowl					
G22	𓅙			hoopoe					
G23	𓅚	derb	depp	lawping					
G24	𓅛	Recht	rekh	lawping with twisted wings					
G25	𓅜	ach	ax 	northern bald ibis					
G26	𓅝	Thoth	The	sacred ibis on  R12					
G26A	𓅞	Tot	tod	sacred ibis					
G27	𓅟	flamingo	dashred	flamingo					
G28	𓅠	find	fai	glossy ibis					
G29	𓅡	Pfau	bv	saddle-billed stork		pf pv bv bf p ph ff		leopard Opfer:offer	
G30	𓅢	Pfauer	power	three saddle-billed storks					
G31	𓅣	Bennu	heron	heron					
G32	𓅤	benhurun		heron on perch					
G33	𓅥	Reiher 	egret	cattle egret					
G34	𓅦	ellen-tellen-lang	ostrich	ostrich					
G35	𓅧	cormorant	com 	cormorant					
G36	𓅨	swalbird	very	swallow  					
G36A	𓅩	swallow	ver	swallow (low)					
G37	𓅪	full	val	sparrow					
G37S	𓅫	voll	vol	sparrow (low)					
G38	𓅬	goosen	sen	white-fronted goose					
G39	𓅭	duck	sn	pintail					
G40	𓅮	flieh	fle	pintail flying					
G41	𓅯	fly	flu	pintail alighting					
G42	𓅰	Mastente		widgeon					
G43	𓅱	hun	u	quail chick					
G44	𓅲		hunt	combination of  G43 and  X1					
G45	𓅳	hen	en	two quail chicks					
G46	𓅴	Hahn	han 	combination of  G43 and  D36					
G46A	𓅵			combination of  G43 and  D37					
G46B	𓅶			combination of  G43 and  U1					
G47	𓅷	chick	chi	duckling					
G48	𓅸	nest		three ducklings in nest					
G49	𓅹			three ducklings in pool					
G50	𓅺			two plovers					
G51	𓅻	catchfish		bird pecking at fish					
G52	𓅼			goose picking up grain					
G53	𓅽	BaBird	BarBar	human-headed bird with  R7					
G54	𓅾	goose	oos	plucked bird					
H1	𓅿	duck	head	head of pintail					
H2	𓆀	cormorant	kom	head of crested bird					
H3	𓆁	spoonbill		head of spoonbill					
H4	𓆂	Riten		head of vulture					
H5	𓆃	Flüg	wing	wing					
H6	𓆄	feather	Schu	feather					
H6A	𓆅	fe	Schur	‘fe’					
H7	𓆆	claw		claw					
H8	𓆇	egg	ei	egg	Tei = Theia				
I1	𓆈	Echse	exe	gecko					
I2	𓆉	turtle		turtle					
I3	𓆊	crocodile	merit	crocodile					
I4	𓆋	Sobek	sbk	crocodile on shrine  ↔ suspekt?					
I5	𓆌	Speck	spk	crocodile with curved tail ↔ spekter👀					
I5A	𓆍	Fresser	tamerit						
I6	𓆎	Kermit	kmt	crocodile scales					
I7	𓆏	frog	hequa	frog					
I8	𓆐	tadpole	quappe	tadpole					
I9	𓆑	snake	sn	horned viper					
I9	𓆑	phyton	viper	horned viper					
I9A	𓆒								
I10	𓆓	schlange	dj	cobra					
I11	𓆔			cobra with fe					
I11A	𓆕			two cobras					
I11B	𓆖	steata	steady	combination of  I10,  X1 and  N18					
I12	𓆗		𓇴 cob.ra	erect cobra					
I13	𓆘			erect cobra on  V30					
I14	𓆙	Schlangen	schl	snake					
I15	𓆚			snake					
K1	𓆛	fin Fish 	in 	tilapia		fin			
K2	𓆜	Bunter Fisch	fish 	barbel		fun phun bunt			
K3	𓆝	butt		mullet		butt			
K4	𓆞	nuckel	cl	elephant-snout fish		clutt? cl kl   (nt snout?)	clever klar clavicle kult killed curl? Naht Nutte?  		
K5	𓆟 	fish	Fisch	Petrocephalus bane		nahr?	Ernährung		
K6	𓆠	scab	scale	fish scale					
K7	𓆡			puffer					
K8	𓆢	Narmer	cat fish	catfish					
L1	𓆣	Käfer	kfr	dung beetle					
L2	𓆤	Biene	bee, debora	bee					
L2A	𓆥	Jupiter	shubit #nswt-bjtj Nesu Bity pronoun	combination of  M23,  L2 and two  X1					
L3	𓆦	fly		fly			summsen:asinnen[insecten]↔Asseln↔zand=fly		
L4	𓆧			locust					
L5	𓆨			centipede					
L6	𓆩			shell					
L6a	𓆩			 L6 reversed					
L7	𓆫			scorpion!					
M1X	𓆬								
M1	𓆭	abre	arbra	tree					
M1	𓆭	ju.niper	jew	tree					
M1A	𓆮			combination of  M1 and  M3					
M1B	𓆯								
M2	𓆰	herb		plant					
M3	𓆱	stock	ast	branch					
M3A	𓆲								
M4	𓆳	Jana	ja	palm branch					
M5	𓆴	Jahrtit	tit	combination of  M4 and  X1					
M6	𓆵	Jahr	jar	combination of  M4 and  D21					
M7	𓆶			combination of  M4 and  Q3					
M8	𓆷	Morast	Moor.aSPa	pool with lotus flowers					
M9	𓆸	Sehr schön Lotus	seschn	lotus flower					
M10	𓆹		tør	lotus bud with straight stem					
M10A	𓆺								
M11	𓆻			flower on long twisted stalk					
M12	𓆼	Tau.greif	tau	lotus plant					
M13	𓇅	(g)rein	reed	papyrus					
M13A	𓇅	(sc)writ	rich	reed					
M14	𓇆	reach	ridj	combination of  M13 and  I10					
M15	𓇇		har	clump of papyrus with buds					
M15A	𓇈		hurr						
M16	𓇉		hor	clump of papyrus					
M16A	𓇊		hur						
M17	𓇋	feather	e 	reed					
M17	𓇋	feather	I 	reed					
M17A	𓇌	y	ee	justice					
M17A	𓇌	ey 	ii						
M18	𓇍	komm	come	combination of  M17 and  D54					
M19	𓇎		oabt?	heaped conical cakes between  M17 and  U36					
M20	𓇏	past.even	past.even	field of reeds					
M21	𓇐	pasture	ebene	reeds with root					
M22	𓇑	Segge	sese	rush			this, these, hither		
M22_2	𓇒	hier							
M23	𓇓	Shu	su 	sedge, Segge, suggar, nature			Sultan		
M24	𓇔	Sur.Süd	sudan	combination of  M23 and  D21					
M25	𓇕			combination of  M26 and  D21					
M26_R	𓇖	moisture							
M26	𓇗	mus(ter/i)	Mus-tree						
M27A	𓇘	south							
M28	𓇚	Mauerblüm		combination of  M26 and  V20					
M29	𓇛	Schote	nieds	pod		n.t n.d		n.t n.d	
M29	𓇛	nuts	nash	pod		n.s n.c 		n.s n.c 	
M30	𓇜	ben.root	root.fruit	root		r.t		r.t	
M31	𓇝	rhizome	rt	rhizome		r.z r.ts		r.z r.ts	
M31X	𓇞	Reis	rice			r.c		r.c	
M32	𓇟	Rispe	rs	rhizome		r.s r.th		r.s r.th	
M33	𓇠	grains	grn	grains horizontally		grn krn		grn krn	
M33A	𓇡	Körner	korn			grs		grs	
M33B	𓇢		krn						
M34	𓇣	emmer		ear of emmer				ear	
M35	𓇤	pile	heap	heap of grain				eap	
M36	𓇥	Korb	ohr	bundle of flax showing bolls				ohr	
M37	𓇦	flax	fl	bundle of flax				flo fla fle flu	
M37A	𓇧	elfen	lf	wide bundle of flax				elf	
M38	𓇨 	Frucht	fruit					fru	
M40	𓇩	bundles	ENCY	bundle of reeds				bu’les ba’las	
M40X	𓇪	fascies	FACION	~ P11 X__ post	Aa28 𓐪  P11𓊧			pha fa.cion	
M41	𓇫			piece of wood				wash wo	
M42	𓇬	Sonn’blume	SAN	flower				san sen	
M43	𓇭	Tenne	ten	vine on trellis				then ten	
M44	𓇮	Pik.Dorn	thorn	thorn  		pik trn drn			
N1	𓇯	air	air	sky				air	
N2	𓇰	Zucker	Sokr	sky with sceptre				soc.er	
N3	𓇱	Don.ner	thunder	sky with sceptre				thnd.ern	
N4	𓇲	rain	rain	sky with rain				rain	
N5	𓇳	Sonn’rad	ra 	sun		ra re s.n sh.n	sun, solar	sn ra	
N6	𓇴	Cob.ra		sun with uraeus				shn	
N7	𓇵			combination of  N5 and  T28					
N8	𓇶	ray	dray	sunshine				‘nday?	
N9	𓇷	new	anew	moon with lower half obscured		‘ne	Ennead	‘ne new	
N10	𓇸	neu		moon with lower section obscured				neu(mond)	
N11	𓇹	mon		crescent moon				mon moon	mound mount mons
N12	𓇺	mond		crescent moon				mnd	mono Montage
N13	𓇻			combination of  N11 and  N14		da?		d*?	
N14	𓇼	Doan	an 	star 	𓋴𓃀𓄿𓇼	duan 		duan	
N15	𓇽	Du’ort	dort	star in circle, Nirvana vs 		du’ort dirt dort (vs hier)		den don d’an	
N16	𓇾	Länder	ter	land with grains		ter der dra tra		len.der ter 	
N17	𓇿		ta 	land				tar	
N18	𓈀	tract	tr	sandy tract				trc	
N18A	𓈂		stan					?	
N19	𓈃	two2i	taui	two sandy tracts				trc	
N20	𓈄	turn	trn	tongue of land		dr tr ter turn tre dreh		tr	
N21	𓈅	dreh	dr 	short tongue of land		dr tr ter turn tre dreh		dr	
N22	𓈆	tar		broad tongue of land		tar		tar	
N23	𓈇	Taur	ta 	irrigation canal		tau taur taun town tou ta	town! Taur[bull]	tau	
N24	𓈈	staat	sta	irrigation canal system		sta		sta staat	
N25	𓈉	desert	dash.red	three hills		za sa Zat ßat sert		s’t srt dsrt dsr thr	
N25A	𓈊	Sattel		?				sa.thl	
N26	𓈋	tell	Tal	two hills vs Kuhle, tell vs Tal		tl		tl hl khl	
N27	𓈌	hori.zone	Akhe’son	sun over mountain				khr hr	
N28	𓈍	krohn	KuRoN	rays of sun over hill				krt krn	
N29	𓈎	quart		slope of hill = X7𓏘				qrt qrd grd	
N30	𓈏	YARD.tell		mound of earth				jrd yrd	
N31	𓈐	Pass	path	road with shrubs				‘rd pth rth 	
N32	𓈑	rish		lump of clay		R*TH,R*S		rsh rs 	
N33	𓈒	sora	ore	grain, zero, 				sr sra	
N33A	𓈓	three	3	trei.drai		DRA drei tre three tur		thra	
N34	𓈔	scale	tsa	ingot of metal			Beil?	tsa *tza *ts tsc sc	
N34A	𓈕	Skalpa	chop	-> scab K6				sch ch chop	
N35	𓈖	Noon	n 	ripple of water			now, nun, nous, ……		
N35A	𓈗	Meer	mar	Ozean		mar, mer, meer, mier?	antschmeer : einschmieren QED		
N36	𓈘	river	weave	canal					
N37	𓈙	losh	sch 	pool					
N37A	𓈚	lock							
N38	𓈛	Loch		deep pool					
N39	𓈜	lake	lush	pool with water					
N40	𓈝	steuer	steer	combination of  N37 and  D54					
N41	𓈞	Brunnen	Brünn	well with ripple of water		Brünett Braut			
N42	𓈟	BRN	inn	well with line of water		Berenike+			
N46	~𓈌								
NL1	𓈠			sign of first nome of Lower Egypt					
NL2	𓈡			sign of second nome of Lower Egypt					
NL3	𓈢			sign of third nome of Lower Egypt					
NL4	𓈣			sign of fourth nome of Lower Egypt					
NL5	𓈤			sign of fifth nome of Lower Egypt					
NL6	𓈥			sign of sixth nome of Lower Egypt					
NL7	𓈦			sign of seventh nome of Lower Egypt					
NL8	𓈧			sign of eighth nome of Lower Egypt					
NL9	𓈩			sign of ninth nome of Lower Egypt					
NL10	𓈪			sign of tenth nome of Lower Egypt					
NL11	𓈫			sign of eleventh nome of Lower Egypt					
NL12	𓈬			sign of twelfth nome of Lower Egypt					
NL13	𓈭			sign of thirteenth nome of Lower Egypt					
NL14	𓈮			sign of fourteenth nome of Lower Egypt					
NL15	𓈯			sign of fifteenth nome of Lower Egypt					
NL16	𓈰			sign of sixteenth nome of Lower Egypt					
NL17	𓈱			sign of seventeenth nome of Lower Egypt					
NL18	𓈲			sign of eighteenth nome of Lower Egypt					
NL19	𓈳			sign of nineteenth nome of Lower Egypt					
NL20	𓈵			sign of twentieth nome of Lower Egypt					
NU1	𓈶			sign of first nome of Upper Egypt					
NU2	𓈷			sign of second nome of Upper Egypt					
NU3	𓈸			sign of third nome of Upper Egypt					
NU4	𓈹			sign of fourth nome of Upper Egypt					
NU5	𓈺			sign of fifth nome of Upper Egypt					
NU6	𓈻			sign of sixth nome of Upper Egypt					
NU7	𓈼			sign of seventh nome of Upper Egypt					
NU8	𓈽			sign of eighth nome of Upper Egypt					
NU9	𓈾			sign of ninth nome of Upper Egypt					
NU10	𓈿			sign of tenth nome of Upper Egypt					
NU11	𓉀			sign of eleventh nome of Upper Egypt					
NU12	𓉁			sign of twelfth nome of Upper Egypt					
NU13	𓉂			sign of thirteenth nome of Upper Egypt					
NU14	𓉃			sign of fourteenth nome of Upper Egypt					
NU15	𓉆			sign of fifteenth nome of Upper Egypt					
NU16	𓉇			sign of sixteenth nome of Upper Egypt					
NU17	𓉈			sign of seventeenth nome of Upper Egypt					
NU18	𓉉			sign of eighteenth nome of Upper Egypt					
NU18A	𓉊			sign of eighteenth nome of Upper Egypt					
NU19	𓉋			sign of nineteenth nome of Upper Egypt					
NU20	𓉌			sign of twentieth nome of Upper Egypt					
NU21	𓉍			sign of twenty-first nome of Upper Egypt					
NU22	𓉎			sign of twenty-second nome of Upper Egypt					
NU22A	𓉏			sign of twenty-second nome of Upper Egypt					
O1	𓉐	port	tor	house					
O2	𓉑	sanatorium	sanctor	combination of  O1 and  T3					
O2A	𓉒								
O3	𓉓			combination of  O1,  P8,  X3, and  W22					
O4	𓉔	Haus	Hof	shelter			house hearths		
O5	𓉕 			winding wall from upper-left corner					
O5A	𓉖								
O6	𓉗	Hütte	hut	enclosure					
O7	𓉘			combination of  O6 and  X1					
O7A	𓉙								
O7B	𓉚								
O7C	𓉛								
O7D	𓉜								
O7E	𓉝								
O8	𓉞	Hathor		combination of  O7 and  O29					
O8A	𓉟								
O9	𓉠	Nephthys		combination of  O7 and  V30					
O10	𓉡	Hathor		combination of  O6 and  G5					
O10A	𓉢								
O10B	𓉣	habitat	habit						
O10C	𓉤								
O11	𓉥	palace	bolt	palace					
O12	𓉦	bald	balt	combination of  O11 and  D36					
O13	𓉧	Baut	heim	battlemented enclosure					
O14	𓉨	Bau	home	part of battlemented enclosure					
O15	𓉩	Raum?		enclosure with  W10 and  X1					
O16	𓉪	Kultort	Celltor	gateway with serpents					
O17	𓉫	Keller	lar	open gateway with serpents			lar		
O18	𓉬	shrine		shrine in profile					
O19	𓉭			shrine with fence					
O20	𓉮			shrine					
O21	𓉯			façade of shrine					
O21A	𓉰								
O21B	𓉱								
O22	𓉲	feast	fest	booth with pole					
O23	𓉳	frogger fest	feast	double platform					
O24	𓉴	pyramid	para	pyramid					
O25	𓉵			obelisk					
O26	𓉶	pillar		stele		pl fl			
O27	𓉸	hall		hall of columns		hl			
O28	𓉺	flute	pillar?			fl			
O29	𓉼	Pfostent							
