182 	full 	man-da-qa, pu-	manch, mucho, puᶥ ~ full	ok?
183 	new 	piš		
184 	old 	qa-ra, ru-ru	gero	++, ~?
185 	good 	ba-ha, ma-ri-ya	bona, marry	OK?
186 	bad 		<<	
187 	rotten 			
188 	dirty 			
189 	straight 			
190 	round 	ir-pi	<<	
191 	sharp (as a knife) 			
192 	dull (as a knife) 			
193 	smooth 			
194 	wet 			
195 	dry 	*zit, zí-ti-qa	sot:sucked,suctus secco suxъ suchý (alles suçe) सूखा sūkhā @süd	ok?
196 	correct 	išturraka	<<< straight, streck > rect	<<<< ++++?
197 	near 	kanna	con	OK?
198 	far 			
199 	right 	šutur	<> certain turn? <> straight	
200 	left 			
201 	at 	hate, ŠÀ	(h)at, zu	+
202 	in 	ma-	ima	+
203 	with 	hidaka	withaque	<<
204 	and 	ak-ka	auch	++
205 	if 	an-ka	angenommen… wenn-gar --	
206 	because 			
207 	name 	hi-iš 	heisse	++
